GeneralCategory,ControlledVariable,ControlledDescription,Units,Attribute1,Attribute1Notes,Attribute2,Attribute2Notes,Attribute3,Attribute3Notes,Attribute4,Attribute4Notes,Attribute5,Attribute5Notes,Attribute6,Attribute6Notes,Attribute7,Attribute7Notes
Nitrogen,15N_NA,"15N isotope concentration, natural abundance",per mille,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Total soil N"",""Extract""]",,"Select|Choose one|[""Natural abundance"",""Enriched with tracer""]",,,,,,"Input|Method reference, if known",
Nitrogen,ACE_protein,Autoclaved citrate extractable soil protein; glomalin,g protein/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Methods|[""Autoclaved citrate extraction"",""Other""]",,,,,,,,"Input|Method reference, if known",
Nitrogen,Ammonium_NH4_extractable,Ammonium in soil extract,mg N/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extractant|[""Water"",""1M KCl"",""2M KCl"",""0.01M CaCl2"",""H3A"",""Sodium acetate"",""Other""]",,,,,,,,"Input|Method reference, if known",
Nitrogen,Ammonium_NH4_dissolved,Dissolved ammonium in naturally-occuring soil water,g N/L,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Filter size|[""None"",""0.45 um"",""Other (specify)""]",,"Select|Sample type|[""Porewater"",""Tile drainage"",""Leachate""]",,,,,,,
Nitrogen,Denitrification_rate,Denitrification rate,mg N/kg*hr,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Acetylene inhibition"",""15N enrichment"",""Other""]",,Input|Period of incubation (hr),,,,,,"Input|Method reference, if known",
Nitrogen,Mineral_Associated_OM_N,Mineral associated organic matter nitrogen,mg N/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Density fractionation"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Nitrogen,Mineralizable N,Accumulation of soil nitrate and ammonium,mg N/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Incubation type|[""Aerobic (NO3+NH4)"",""Anaerobic (NH4 accumulation)""]",,Input|Period of incubation (d),,"Select|Extract type|[""H2O"",""0.01M CaCl2"",""H3A"",""1M KCl"",""2M KCl"",""Sodium acetate"",""Other""]",,,,"Input|Method reference, if known",
Nitrogen,Nitrate_NO3_extractable,Nitrate in soil extract,mg N/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extractant|[""Water"",""1M KCl"",""2M KCl"",""0.01M CaCl2"",""H3A"",""Sodium acetate"",""Other""]",,,,,,,,"Input|Method reference, if known",
Nitrogen,Nitrate_NO3_dissolved,Dissolved nitrate in naturally-occuring soil water,g N/L,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Filter size|[""None"",""0.45 um"",""Other (specify)""]",,"Select|Sample type|[""Porewater"",""Tile drainage"",""Leachate""]",,,,,,,
Nitrogen,Nitrification_rate,Rate of nitrate production,mg N/kg*hr,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Net nitrification incubation"",""Nitrification inhibitor"",""15N isotope dilution"",""Other""]",,Input|Period of incubation (hr),,,,,,"Input|Method reference, if known",
Nitrogen,Nitrite_NO2_extractable,Nitrite in soil extract,mg N/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extractant|[""Water"",""1M KCl"",""2M KCl"",""0.01M CaCl2"",""H3A"",""Sodium acetate"",""Other""]",,,,,,,,"Input|Method reference, if known",
